操作日期,操作时间,股票代码,股票名称,操作,操作价格,操作原因,总资产
2025-10-24,09:30:00,002278,神开股份,buy,13.600,"Top3 pick rank=2; score=100.00%; raw_prob=59.59%; board=4; ret1=9.98%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",153007.64
2025-10-27,15:00:00,002278,神开股份,sell,15.880,T+2收盘回撤16.76%>-5%，T+2收盘卖出 (no intraday-high optimization).,178499.18
2025-10-29,09:30:00,002512,达华智能,buy,5.500,"Top3 pick rank=2; score=100.00%; raw_prob=51.62%; board=4; ret1=9.98%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",178454.63
2025-10-31,15:00:00,002512,达华智能,sell,4.620,T+2收盘回撤-7.27%<=-5%，延长到T+3收盘卖出 (no intraday-high optimization).,149905.20
2025-11-04,09:30:00,600408,安泰集团,buy,3.490,"Top3 pick rank=3; score=100.00%; raw_prob=47.54%; board=1; ret1=9.97%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",149867.77
2025-11-05,15:00:00,600408,安泰集团,sell,4.140,T+2收盘回撤18.62%>-5%，T+2收盘卖出 (no intraday-high optimization).,177708.37
2025-11-10,09:30:00,600610,中毅达,buy,12.530,"Top3 pick rank=1; score=100.00%; raw_prob=41.20%; board=1; ret1=10.02%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",177664.20
2025-11-11,15:00:00,600610,中毅达,sell,12.820,T+2收盘回撤2.31%>-5%，T+2收盘卖出 (no intraday-high optimization).,181708.01
2025-11-18,09:30:00,002990,盛视科技,buy,32.280,"Top3 pick rank=1; score=100.00%; raw_prob=43.95%; board=1; ret1=9.99%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",181662.82
2025-11-20,15:00:00,002990,盛视科技,sell,31.130,T+2收盘回撤-5.45%<=-5%，延长到T+3收盘卖出 (no intraday-high optimization).,175179.24
2025-12-01,09:30:00,000078,海王生物,buy,3.400,"Top3 pick rank=3; score=100.00%; raw_prob=41.63%; board=3; ret1=10.03%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",175135.46
2025-12-02,15:00:00,000078,海王生物,sell,4.110,T+2收盘回撤20.88%>-5%，T+2收盘卖出 (no intraday-high optimization).,211647.55
2025-12-09,09:30:00,002565,顺灏股份,buy,13.320,"Top3 pick rank=1; score=100.00%; raw_prob=52.57%; board=2; ret1=10.00%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",211594.93
2025-12-10,15:00:00,002565,顺灏股份,sell,13.470,T+2收盘回撤1.13%>-5%，T+2收盘卖出 (no intraday-high optimization).,213911.73
2025-12-19,09:30:00,603585,苏利股份,buy,20.800,"Top3 pick rank=2; score=100.00%; raw_prob=51.32%; board=2; ret1=9.99%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",213858.69
2025-12-22,15:00:00,603585,苏利股份,sell,20.160,T+2收盘回撤-3.08%>-5%，T+2收盘卖出 (no intraday-high optimization).,207279.28
2025-12-25,09:30:00,600118,中国卫星,buy,67.550,"Top3 pick rank=2; score=100.00%; raw_prob=48.56%; board=1; ret1=10.00%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",207228.62
2025-12-26,15:00:00,600118,中国卫星,sell,80.000,T+2收盘回撤18.43%>-5%，T+2收盘卖出 (no intraday-high optimization).,244518.62
2026-01-05,09:30:00,603156,养元饮品,buy,28.740,"Top3 pick rank=2; score=100.00%; raw_prob=43.60%; board=1; ret1=9.98%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",244457.54
2026-01-06,15:00:00,603156,养元饮品,sell,28.580,T+2收盘回撤-0.56%>-5%，T+2收盘卖出 (no intraday-high optimization).,243036.81
2026-01-08,09:30:00,002718,友邦吊顶,buy,48.700,"Top3 pick rank=2; score=100.00%; raw_prob=51.50%; board=4; ret1=10.00%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",242977.15
2026-01-09,15:00:00,002718,友邦吊顶,sell,51.510,T+2收盘回撤5.77%>-5%，T+2收盘卖出 (no intraday-high optimization).,256683.05
2026-01-22,09:30:00,000036,华联控股,buy,6.300,"Top3 pick rank=1; score=100.00%; raw_prob=55.57%; board=1; ret1=9.98%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",256618.95
2026-01-23,15:00:00,000036,华联控股,sell,6.990,T+2收盘回撤10.95%>-5%，T+2收盘卖出 (no intraday-high optimization).,284630.83
2026-01-28,09:30:00,002115,三维通信,buy,15.870,"Top3 pick rank=3; score=100.00%; raw_prob=57.23%; board=1; ret1=10.00%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",284559.81
2026-01-29,15:00:00,002115,三维通信,sell,15.700,T+2收盘回撤-1.07%>-5%，T+2收盘卖出 (no intraday-high optimization).,281446.55
2026-02-04,09:30:00,000039,中集集团,buy,10.550,"Top3 pick rank=1; score=100.00%; raw_prob=56.15%; board=1; ret1=9.97%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",281376.40
2026-02-05,15:00:00,000039,中集集团,sell,11.290,T+2收盘回撤7.01%>-5%，T+2收盘卖出 (no intraday-high optimization).,300985.32
2026-02-09,09:30:00,000056,皇庭国际,buy,2.310,"Top3 pick rank=1; score=100.00%; raw_prob=55.05%; board=2; ret1=10.14%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",300910.13
2026-02-10,15:00:00,000056,皇庭国际,sell,2.410,T+2收盘回撤4.33%>-5%，T+2收盘卖出 (no intraday-high optimization).,313851.68
2026-02-26,09:30:00,600545,卓郎智能,buy,3.400,"Top3 pick rank=2; score=100.00%; raw_prob=52.35%; board=1; ret1=10.10%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",313773.31
2026-02-27,15:00:00,600545,卓郎智能,sell,3.420,T+2收盘回撤0.59%>-5%，T+2收盘卖出 (no intraday-high optimization).,315538.48
